ano,sede,posicao,jogador,selecao,gols,jogos,artilheiro_copa
2026,EUA/Canadá/México,52,Mostafa Zico,Egito,1,3,Nao
2026,EUA/Canadá/México,53,Felix Nmecha,Alemanha,1,3,Nao
2026,EUA/Canadá/México,54,Keito Nakamura,Japão,1,3,Nao
2026,EUA/Canadá/México,55,Hwang Inbeom,Coreia do Sul,1,3,Nao
2026,EUA/Canadá/México,56,Virgil Van Dijk,Holanda,1,3,Nao
2026,EUA/Canadá/México,57,Achraf Hakimi,Marrocos,1,3,Nao
2026,EUA/Canadá/México,58,Kaan Ayhan,Turquia,1,1,Nao
2026,EUA/Canadá/México,59,Mattias Svanberg,Suécia,1,1,Nao
2026,EUA/Canadá/México,60,Gessime Yassine,Marrocos,1,1,Nao
2026,EUA/Canadá/México,61,Jaminton Campaz,Colômbia,1,1,Nao
2026,EUA/Canadá/México,62,Rafael Leao,Portugal,1,2,Nao
2026,EUA/Canadá/México,63,Marcus Rashford,Inglaterra,1,2,Nao
2026,EUA/Canadá/México,64,Ante Budimir,Croácia,1,1,Nao
2026,EUA/Canadá/México,65,Mahmoud Saber,Egito,1,1,Nao
2026,EUA/Canadá/México,66,Nadhir Benbouali,Argélia,1,1,Nao
2026,EUA/Canadá/México,67,Hassan Alhaydos,Catar,1,2,Nao
2026,EUA/Canadá/México,68,Helio Varela,CPV,1,2,Nao
2026,EUA/Canadá/México,69,Jovo Lukic,Bósnia,1,2,Nao
2026,EUA/Canadá/México,70,Mateo Chavez,México,1,1,Nao
2026,EUA/Canadá/México,71,Marko Arnautovic,Áustria,1,2,Nao
2026,EUA/Canadá/México,72,Alexis Saelemaekers,Bélgica,1,2,Nao
2026,EUA/Canadá/México,73,Habib Diarra,Senegal,1,2,Nao
2026,EUA/Canadá/México,74,Hazem Mastouri,Tunísia,1,1,Nao
2026,EUA/Canadá/México,75,Alvaro Fidalgo,México,1,2,Nao
2026,EUA/Canadá/México,76,Thelo Aasgaard,Noruega,1,1,Nao
2026,EUA/Canadá/México,77,Giovanni Reyna,EUA,1,3,Nao
2026,EUA/Canadá/México,78,Mauricio,Paraguai,1,2,Nao
2026,EUA/Canadá/México,79,Petar Musa,Croácia,1,2,Nao
2026,EUA/Canadá/México,80,Auston Trusty,EUA,1,2,Nao
2026,EUA/Canadá/México,81,Aymen Hussein,Iraque,1,2,Nao
2026,EUA/Canadá/México,82,Ibrahim Mbaye,Senegal,1,3,Nao
2026,EUA/Canadá/México,83,Alex Baena,Espanha,1,2,Nao
2026,EUA/Canadá/México,84,Leo Ostigard,Noruega,1,3,Nao
2026,EUA/Canadá/México,85,Marcus Holmgren Pedersen,Noruega,1,2,Nao
2026,EUA/Canadá/México,86,Oh Hyeongyu,Coreia do Sul,1,3,Nao
2026,EUA/Canadá/México,87,Nico Schlotterbeck,Alemanha,1,2,Nao
2026,EUA/Canadá/México,88,Nilson Angulo,Equador,1,3,Nao
2026,EUA/Canadá/México,89,Amine Gouiri,Argélia,1,2,Nao
2026,EUA/Canadá/México,90,Lamine Yamal,Espanha,1,3,Nao
2026,EUA/Canadá/México,91,Abbosbek Fayzullaev,UZB,1,2,Nao
2026,EUA/Canadá/México,92,Junya Ito,Japão,1,3,Nao
2026,EUA/Canadá/México,93,Raul Jimenez,México,1,2,Nao
2026,EUA/Canadá/México,94,Jude Bellingham,Inglaterra,1,2,Nao
2026,EUA/Canadá/México,95,Thapelo Maseko,África do Sul,1,2,Nao
2026,EUA/Canadá/México,96,Daizen Maeda,Japão,1,2,Nao
2026,EUA/Canadá/México,97,Romano Schmid,Áustria,1,2,Nao
2026,EUA/Canadá/México,98,Amad Diallo,Costa do Marfim,1,3,Nao
2026,EUA/Canadá/México,99,Nuno Mendes,Portugal,1,2,Nao
2026,EUA/Canadá/México,100,Joao Neves,Portugal,1,2,Nao
2022,Catar,1,Kylian Mbappé,França,8,7,Sim
2022,Catar,2,Lionel Messi,Argentina,7,7,Nao
2022,Catar,3,Olivier Giroud,França,4,7,Nao
2022,Catar,4,Julian Álvarez,Argentina,4,7,Nao
2022,Catar,5,Cody Gakpo,Holanda,3,6,Nao
2022,Catar,6,Harry Kane,Inglaterra,3,5,Nao
2022,Catar,7,Enner Valencia,Equador,3,3,Nao
2022,Catar,8,Marcus Rashford,Inglaterra,3,5,Nao
2022,Catar,9,Cristiano Ronaldo,Portugal,1,5,Nao
2018,Rússia,1,Harry Kane,Inglaterra,6,6,Sim
2018,Rússia,2,Romelu Lukaku,Bélgica,4,6,Nao
2018,Rússia,3,Kylian Mbappé,França,4,7,Nao
2018,Rússia,4,Denis Cheryshev,Rússia,4,5,Nao
2018,Rússia,5,Cristiano Ronaldo,Portugal,4,4,Nao
2018,Rússia,6,Antoine Griezmann,França,3,7,Nao
2018,Rússia,7,Lionel Messi,Argentina,1,4,Nao
2014,Brasil,1,James Rodríguez,Colômbia,6,5,Sim
2014,Brasil,2,Thomas Müller,Alemanha,5,7,Nao
2014,Brasil,3,Neymar,Brasil,4,5,Nao
2014,Brasil,4,Lionel Messi,Argentina,4,7,Nao
2014,Brasil,5,Miroslav Klose,Alemanha,2,7,Nao
2014,Brasil,6,Cristiano Ronaldo,Portugal,1,3,Nao
2010,África do Sul,1,Thomas Müller,Alemanha,5,6,Sim
2010,África do Sul,2,David Villa,Espanha,5,7,Nao
2010,África do Sul,3,Wesley Sneijder,Holanda,5,7,Nao
2010,África do Sul,4,Diego Forlán,Uruguai,5,7,Nao
2010,África do Sul,5,Miroslav Klose,Alemanha,4,6,Nao
2010,África do Sul,6,Cristiano Ronaldo,Portugal,1,4,Nao
2006,Alemanha,1,Miroslav Klose,Alemanha,5,7,Sim
2006,Alemanha,2,Hernán Crespo,Argentina,3,4,Nao
2006,Alemanha,3,Thierry Henry,França,3,6,Nao
2006,Alemanha,4,Ronaldo,Brasil,3,5,Nao
2006,Alemanha,5,Lionel Messi,Argentina,1,3,Nao
2006,Alemanha,6,Cristiano Ronaldo,Portugal,1,5,Nao
2002,Coreia/Japão,1,Ronaldo,Brasil,8,7,Sim
2002,Coreia/Japão,2,Rivaldo,Brasil,5,7,Nao
2002,Coreia/Japão,3,Miroslav Klose,Alemanha,5,7,Nao
2002,Coreia/Japão,4,Jon Dahl Tomasson,Dinamarca,4,4,Nao
2002,Coreia/Japão,5,Gabriel Batistuta,Argentina,1,3,Nao
2002,Coreia/Japão,6,Cristiano Ronaldo,Portugal,0,3,Nao
1998,França,1,Davor Šuker,Croácia,6,7,Sim
1998,França,2,Christian Vieri,Itália,5,5,Nao
1998,França,3,Gabriel Batistuta,Argentina,5,5,Nao
1998,França,4,Marcelo Salas,Chile,4,4,Nao
1998,França,5,Ronaldo,Brasil,4,7,Nao
1998,França,6,Jürgen Klinsmann,Alemanha,3,5,Nao
1994,EUA,1,Hristo Stoichkov,Bulgária,6,6,Sim
1994,EUA,2,Oleg Salenko,Rússia,6,3,Nao
1994,EUA,3,Jürgen Klinsmann,Alemanha,5,7,Nao
1994,EUA,4,Romário,Brasil,5,7,Nao
1994,EUA,5,Gabriel Batistuta,Argentina,4,4,Nao
1990,Itália,1,Salvatore Schillaci,Itália,6,7,Sim
1990,Itália,2,Tomáš Skuhravý,Tchecoslováquia,5,5,Nao
1990,Itália,3,Michel,Espanha,4,5,Nao
1990,Itália,4,Gary Lineker,Inglaterra,4,7,Nao
1990,Itália,5,Jürgen Klinsmann,Alemanha,3,7,Nao
1986,México,1,Gary Lineker,Inglaterra,6,5,Sim
1986,México,2,Diego Maradona,Argentina,5,7,Nao
1986,México,3,Emilio Butragueño,Espanha,5,5,Nao
1986,México,4,Karl-Heinz Rummenigge,Alemanha,2,5,Nao
1982,Espanha,1,Paolo Rossi,Itália,6,7,Sim
1982,Espanha,2,Karl-Heinz Rummenigge,Alemanha,5,5,Nao
1982,Espanha,3,Zbigniew Boniek,Polônia,4,5,Nao
1982,Espanha,4,Grzegorz Lato,Polônia,3,7,Nao
1978,Argentina,1,Mario Kempes,Argentina,6,7,Sim
1978,Argentina,2,Teofilo Cubillas,Peru,5,6,Nao
1978,Argentina,3,Rob Rensenbrink,Holanda,5,7,Nao
1978,Argentina,4,Karl-Heinz Rummenigge,Alemanha,3,6,Nao
1974,Alemanha,1,Grzegorz Lato,Polônia,7,7,Sim
1974,Alemanha,2,Andrzej Szarmach,Polônia,5,7,Nao
1974,Alemanha,3,Gerd Müller,Alemanha,4,6,Nao
1974,Alemanha,4,Johan Neeskens,Holanda,4,7,Nao
1970,México,1,Gerd Müller,Alemanha,10,6,Sim
1970,México,2,Jairzinho,Brasil,7,6,Nao
1970,México,3,Teofilo Cubillas,Peru,5,5,Nao
1970,México,4,Pelé,Brasil,4,6,Nao
1970,México,5,Uwe Seeler,Alemanha,3,6,Nao
1966,Inglaterra,1,Eusébio,Portugal,9,6,Sim
1966,Inglaterra,2,Helmut Haller,Alemanha,6,6,Nao
1966,Inglaterra,3,Geoff Hurst,Inglaterra,4,6,Nao
1966,Inglaterra,4,Uwe Seeler,Alemanha,3,6,Nao
1966,Inglaterra,5,Pelé,Brasil,1,2,Nao
1962,Chile,1,Garrincha,Brasil,4,5,Sim
1962,Chile,2,Vavá,Brasil,4,5,Nao
1962,Chile,3,Leonel Sánchez,Chile,4,6,Nao
1962,Chile,4,Dražan Jerković,Iugoslávia,4,5,Nao
1962,Chile,5,Flórián Albert,Hungria,4,4,Nao
1962,Chile,6,Valentin Ivanov,URSS,4,4,Nao
1962,Chile,7,Uwe Seeler,Alemanha,2,6,Nao
1962,Chile,8,Pelé,Brasil,1,2,Nao
1958,Suécia,1,Just Fontaine,França,13,6,Sim
1958,Suécia,2,Pelé,Brasil,6,4,Nao
1958,Suécia,3,Helmut Rahn,Alemanha,4,5,Nao
1958,Suécia,4,Uwe Seeler,Alemanha,2,6,Nao
1954,Suíça,1,Sándor Kocsis,Hungria,11,5,Sim
1954,Suíça,2,Erich Probst,Áustria,6,5,Nao
1954,Suíça,3,Morlock,Alemanha,6,5,Nao
1954,Suíça,4,Helmut Rahn,Alemanha,4,5,Nao
1954,Suíça,5,Uwe Seeler,Alemanha,2,3,Nao
1950,Brasil,1,Ademir,Brasil,8,6,Sim
1950,Brasil,2,Oscar Míguez,Uruguai,5,4,Nao
1950,Brasil,3,Chico,Brasil,4,5,Nao
1938,França,1,Leônidas,Brasil,7,4,Sim
1938,França,2,Gyula Zsengellér,Hungria,7,4,Nao
1938,França,3,Silvio Piola,Itália,5,4,Nao
1934,Itália,1,Oldřich Nejedlý,Tchecoslováquia,5,4,Sim
1934,Itália,2,Angelo Schiavio,Itália,4,5,Nao
1934,Itália,3,Edmund Conen,Alemanha,4,4,Nao
1930,Uruguai,1,Guillermo Stábile,Argentina,8,4,Sim
1930,Uruguai,2,Pedro Cea,Uruguai,5,4,Nao
1930,Uruguai,3,Guillermo Subiabre,Chile,4,3,Nao
1930,Uruguai,4,Bert Patenaude,EUA,3,3,Nao
